sno,serialno,Computer_FileNO,IncidentDistrict,PermanentDistrict,year_INC_NEP,age_2,Age,Year,Event_Date,Region2,Region1,Mobility,IncidentOutcome,Killed_Type,By_State,By_Maoist,Other_Perpetrators,Gender,MaritalStatus,LanguageGroup,CasteGroup,Partyaffiliation,EconomicStatus,Education,OccupationCategory,Informer,LivelihoodDependence,Compensation,Displacement,DisplacementResettlement,IncidentVictim
47,2,8614,BAGLUNG,52,2060,,19,2004,22/04/2004,3,2,1,1,1,1,0,0,0,2,1,2,5,3,5,9,,1,1,0,0,0
47,4,2999,BAGLUNG,47,2060,,48,2003,08/12/2003,3,2,2,1,3,1,0,0,0,1,1,5,99,4,6,1,,1,1,0,0,0
47,6,6680,BAGLUNG,54,2061,,23,2005,21/03/2005,3,2,1,1,1,1,0,0,0,2,1,2,5,2,5,9,,1,1,0,0,0
47,7,7158,BAGLUNG,6,2062,,35,2005,20/12/2005,3,2,0,1,1,0,1,0,0,1,5,2,99,3,4,6,,1,1,0,0,0
47,9,2298,BAGLUNG,47,2059,,28,2002,11/11/2002,3,2,2,1,1,1,0,0,0,1,1,5,99,4,8,1,,1,1,0,0,0
47,10,676,BAGLUNG,73,2058,,26,2002,10/03/2002,3,2,0,1,1,0,1,0,0,1,1,1,99,3,3,5,,1,1,0,0,0
47,23,923,BAGLUNG,36,2057,,23,2000,18/11/2000,3,2,0,1,1,0,1,0,0,1,10,2,99,3,5,5,,1,1,0,0,0
47,34,3698,BAGLUNG,47,2060,,24,2003,26/11/2003,3,2,2,2,9,1,0,0,0,2,10,2,5,3,5,9,,1,1,0,0,-88
47,39,5092,BAGLUNG,54,2060,,20,2004,01/04/2004,3,2,1,1,1,1,0,0,0,2,1,1,5,3,5,9,,1,1,0,0,0
47,44,3095,BAGLUNG,47,2061,,62,2004,18/04/2004,3,2,2,3,9,0,0,1,0,1,1,2,99,3,8,1,,1,1,1,0,-88
47,47,3705,BAGLUNG,47,2057,,34,2000,18/11/2000,3,2,2,1,1,1,0,0,0,1,1,2,5,3,4,9,,1,1,0,0,0
47,50,8721,BAGLUNG,52,2060,,20,2004,20/03/2004,3,2,1,1,1,1,0,0,0,2,10,2,5,4,6,9,,1,1,0,0,0
47,52,6790,BAGLUNG,54,2060,,28,2003,21/10/2003,3,2,1,1,2,1,0,0,0,2,1,1,5,3,6,9,,1,1,0,0,0
47,54,6823,BAGLUNG,38,2059,,24,2002,12/11/2002,3,2,0,1,1,0,1,0,0,1,1,1,99,4,4,6,,1,1,0,0,0
47,57,3083,BAGLUNG,47,2061,,30,2004,04/11/2004,3,2,2,3,9,1,0,0,0,1,1,5,5,4,7,9,,1,1,0,0,-88
47,58,2077,BAGLUNG,47,2061,,5,2004,25/04/2004,3,2,2,1,6,0,1,0,0,2,1,5,99,4,7,1,,1,1,0,0,0
47,60,2964,BAGLUNG,47,2062,,22,2006,27/01/2006,3,2,2,1,5,0,1,0,0,1,1,2,5,4,5,9,,1,1,0,0,0
47,70,5304,BAGLUNG,26,2060,,26,2004,11/01/2004,3,2,0,1,1,0,1,0,0,1,1,1,99,5,9,6,,1,1,0,0,0
47,75,2084,BAGLUNG,38,2057,,23,2000,26/10/2000,3,2,0,1,0,0,1,0,0,1,1,1,99,3,4,5,,1,1,0,0,0
47,79,7729,BAGLUNG,5,2060,,27,2003,30/12/2003,3,2,0,1,1,0,1,0,0,1,19,3,99,5,9,6,,3,0,0,0,0
47,87,3005,BAGLUNG,47,2057,,17,2000,03/09/2000,3,2,2,1,3,0,0,1,0,2,13,2,5,4,4,9,,1,1,0,0,0
47,89,5554,BAGLUNG,37,2060,,36,2003,24/12/2003,3,2,0,1,4,0,1,0,0,1,2,2,99,2,5,6,,2,1,0,0,0
47,98,8159,BAGLUNG,26,2061,,24,2004,07/11/2004,3,2,0,1,1,0,1,0,0,2,1,1,99,5,9,5,,3,1,0,0,0
47,99,8806,BAGLUNG,52,2061,,30,2005,24/03/2005,3,2,1,1,1,1,0,0,0,6,1,2,5,3,5,9,,1,1,0,0,0
47,100,2072,BAGLUNG,47,2060,,29,2004,21/03/2004,3,2,2,1,1,1,0,0,0,1,10,2,5,3,3,9,,1,1,0,0,0
47,103,2925,BAGLUNG,47,,,54,2004,15/08/2004,3,2,2,1,3,0,1,0,0,1,1,2,99,4,7,1,1,1,1,0,0,0
47,105,6688,BAGLUNG,54,2061,,23,2005,21/03/2005,3,2,1,1,1,1,0,0,0,2,1,5,5,2,3,9,,1,1,0,0,0
47,108,3643,BAGLUNG,41,2062,,26,2005,08/11/2005,3,2,0,1,4,0,1,0,0,1,1,1,99,3,4,5,,2,1,0,0,0
47,113,6424,BAGLUNG,45,2057,,22,2000,18/11/2000,3,2,0,1,0,0,1,0,0,2,1,1,99,3,3,5,,1,1,0,0,0
47,122,2271,BAGLUNG,47,2059,,24,2002,11/11/2002,3,2,2,1,0,1,0,0,0,2,1,1,99,4,6,1,,1,1,0,0,0
47,126,5918,BAGLUNG,49,2060,21,21,2004,23/03/2004,3,2,1,1,1,1,0,0,0,2,1,2,5,4,6,9,,1,0,0,0,0
47,130,1842,BAGLUNG,38,2059,24,24,2002,12/11/2002,3,2,0,1,1,0,1,0,0,1,1,1,99,4,4,6,,1,1,0,0,0
47,131,3113,BAGLUNG,39,2055,,24,1999,10/04/1999,3,2,0,1,0,0,1,0,0,1,1,1,99,3,5,5,,1,1,0,0,0
47,132,6679,BAGLUNG,54,2061,,19,2004,31/07/2004,3,2,1,1,1,1,0,0,1,2,1,1,5,3,4,9,,1,1,0,0,0
47,139,2292,BAGLUNG,74,2058,,28,2001,11/07/2001,3,2,0,1,2,0,1,0,0,1,4,2,99,3,4,5,,1,1,0,0,0
47,142,10344,BAGLUNG,52,2062,,18,2005,31/05/2005,3,2,1,1,5,0,1,0,0,2,1,2,5,4,6,9,,1,1,0,0,0
45,144,1206,ARGHAKHANCHI,44,2061,,24,2004,11/10/2004,3,2,1,1,2,1,0,0,1,2,10,2,5,3,4,1,,1,1,0,0,0
45,146,1291,ARGHAKHANCHI,72,2062,,27,2005,25/06/2005,3,2,0,1,1,0,1,0,0,1,1,5,99,2,5,6,,1,1,0,0,0
